Tên thực phẩm chức năng,Giá tiền,Cách dùng,Chống chỉ định,Liều dùng,Vitamin C,Canxi,Vitamin D3,Sắt,Kẽm,Vitamin E,Omega-3,Biotin,Lợi khuẩn,Protein,Thành phần đặc biệt khác,Vitamin A
Dầu cá Omega-3,300.000 VNĐ,Uống sau bữa ăn,"Người dị ứng với cá, rối loạn đông máu",1-2 viên/ngày,,,,,,,300mg,,,,1000mg Dầu cá,
Viên uống Vitamin C,150.000 VNĐ,Uống sau bữa ăn sáng,"Người bị sỏi thận, loét dạ dày",1 viên/ngày,500mg,,,,,,,,,,,
Viên uống Canxi + D3,250.000 VNĐ,"Uống vào buổi sáng, sau ăn","Người bị sỏi thận, tăng canxi huyết",1-2 viên/ngày,,600mg,400 IU,,,,,,,,,
Nước uống Collagen,800.000 VNĐ,Uống trước khi đi ngủ,"Người bị u xơ, dị ứng thành phần",1 chai/ngày,,,,,,,,,,,5000mg Collagen Peptide,
Viên bổ khớp Glucosamine,600.000 VNĐ,Uống cùng hoặc sau bữa ăn,"Người dị ứng hải sản, phụ nữ có thai",1-2 viên/ngày,,,,,,,,,,,1500mg Glucosamine,
Vitamin tổng hợp (Multivitamin),400.000 VNĐ,Uống sau bữa ăn sáng,Trẻ em dưới 12 tuổi (tùy loại),1 viên/ngày,,,,,,,,,,,Chứa 20+ loại vitamin & khoáng chất,
Viên bổ sung Sắt,200.000 VNĐ,Uống lúc đói hoặc với nước cam,Người mắc bệnh Thalassemia,1 viên/ngày,,,,65mg,,,,,,,,
Viên bổ sung Kẽm,250.000 VNĐ,Uống sau bữa ăn,Không dùng chung với sắt/canxi cùng lúc,1 viên/ngày,,,,,50mg,,,,,,,
Men vi sinh (Probiotic),350.000 VNĐ,Uống trước bữa ăn 30 phút,Người suy giảm miễn dịch nghiêm trọng,1-2 viên/ngày,,,,,,,,,10 tỷ CFU,,,
Viên uống Vitamin E,180.000 VNĐ,Uống sau bữa ăn có chất béo,Người có nguy cơ chảy máu cao,1 viên/ngày,,,,,,400 IU,,,,,,
Tinh chất hàu,450.000 VNĐ,Uống sau bữa ăn,Người dị ứng hải sản,2 viên/ngày,,,,,,,,,,,500mg Chiết xuất hàu,
Sữa ong chúa,500.000 VNĐ,Uống lúc bụng đói,"Người dị ứng phấn hoa, mật ong",1 viên/ngày,,,,,,,,,,,1000mg Sữa ong chúa,
Viên uống Ginkgo Biloba,300.000 VNĐ,Uống sau bữa ăn,"Người đang chảy máu, chuẩn bị phẫu thuật",1-2 viên/ngày,,,,,,,,,,,120mg Chiết xuất bạch quả,
Viên uống Biotin,250.000 VNĐ,Uống trong bữa ăn,"Trẻ em, phụ nữ có thai (cần tư vấn)",1 viên/ngày,,,,,,,,"10,000 mcg",,,,
Kẹo dẻo Melatonin,300.000 VNĐ,Nhai trước khi ngủ 30 phút,"Trẻ em, người lái xe, vận hành máy móc",1 viên/ngày,,,,,,,,,,,5mg Melatonin,
Bột đạm Whey Protein,1.500.000 VNĐ,"Pha với nước, uống sau tập",Người dị ứng sữa (chứng không dung nạp lactose),1-2 muỗng/ngày,,,,,,,,,,25g/muỗng,,
Tinh chất mầm đậu nành,400.000 VNĐ,Uống sau bữa ăn,"Phụ nữ có u xơ tử cung, u nang buồng trứng",1-2 viên/ngày,,,,,,,,,,,50mg Isoflavones,
Viên uống trắng da Glutathione,700.000 VNĐ,Uống trong bữa ăn,"Phụ nữ có thai, người dị ứng thành phần",1-2 viên/ngày,,,,,,,,,,,500mg Glutathione,
Tỏi đen,500.000 VNĐ,Ăn trực tiếp trước bữa ăn,"Người bị huyết áp thấp, tiêu chảy",1-2 củ/ngày,,,,,,,,,,,100% tỏi đen lên men,
Bổ gan Milk Thistle,350.000 VNĐ,Uống sau bữa ăn,Người bị tắc nghẽn ống mật,1 viên/ngày,,,,,,,,,,,1000mg Chiết xuất kế sữa,
Dầu gan cá tuyết (Cod Liver Oil),400.000 VNĐ,Uống trong bữa ăn,Người dị ứng cá,1 viên/ngày,,,400 IU,,,,250mg,,,,,1250 IU
Viên uống Vitamin A,150.000 VNĐ,Uống sau bữa ăn,Phụ nữ có thai liều cao,1 viên/ngày,,,,,,,,,,,,10000 IU
Viên Canxi hữu cơ,350.000 VNĐ,Uống sáng sau ăn,Sỏi thận,2 viên/ngày,,500mg,,,,,,,,,,
Kẹo dẻo Canxi + D3 cho bé,250.000 VNĐ,Nhai sau ăn sáng,Trẻ dưới 2 tuổi,2 viên/ngày,,250mg,200 IU,,,,,,,,,
Vitamin E đỏ Nga,200.000 VNĐ,Uống sau ăn,Dị ứng thành phần,1 viên/ngày,,,,,,400 mg,,,,,,
Dầu gấc (Gac Oil),120.000 VNĐ,Uống trong bữa ăn,Thừa vitamin A,2 viên/ngày,,,,,,10mg,,,,,Beta-carotene,1000 IU
Viên uống sáng mắt Lutein & Vitamin A,300.000 VNĐ,Uống sau ăn,Phụ nữ có thai,1 viên/ngày,,,,,,,,,,,Lutein 20mg,5000 IU
Sữa non bổ sung Canxi,550.000 VNĐ,Pha nước ấm,Dị ứng sữa bò,1-2 ly/ngày,,1000mg,,,,,,,,15g,Kháng thể IgG,
